frame 22: [[[796.4111328125, 941.0733032226562], [745.1151147499853, 772.3848277223661], [739.6677159005765, 551.4920866780011], [843.3044438951056, 521.9560910984984], [827.3647387827502, 703.5706358244109], [833.804570530113, 927.5005983353047], [800.9180090579215, 552.9917664269421], [775.7213309898807, 399.7104046337568], [751.5765344849913, 260.11615676007244], [748.889417902562, 225.49278577114714], [723.1320965118786, 70.37151306411435], [485.78045179151263, 354.50250076537594], [573.1247678908957, 356.47974022208905], [644.557188918217, 271.26238294480726], [840.5631786967554, 253.56569072817345], [861.5330951667233, 382.7557994982916], [769.7222532873452, 482.4667953198976], [0.9384765625, 0.0]]]
frame 23: [[[793.25390625, 933.76171875], [741.5822592124221, 763.8250614382449], [736.1037801490298, 550.6974456950388], [840.5065349152444, 530.2570740386851], [824.4298237474121, 704.8985323627237], [830.9148595186646, 929.786237020703], [797.7889628884263, 561.9751531781592], [776.7380246193356, 403.2222875295943], [757.2196987387774, 257.75619130613075], [754.9813975726278, 222.70701979649303], [720.4153788813925, 66.42741671090826], [498.9990516913432, 352.70221405367664], [587.1720124385412, 363.413774909404], [650.7580504853887, 269.5594528035088], [838.0548914293732, 251.05203607443295], [867.7363964630498, 381.0979737279997], [785.0077528485425, 454.30844044077685], [0.9267578125, 0.0]]]
frame 24: [[[799.4130859375, 948.9365234375], [747.4730673821713, 768.7764244739703], [733.355483017698, 563.4969374122121], [828.0275138433213, 534.3636888853041], [819.9185092141619, 709.1146905430028], [818.9519881989517, 944.649538637047], [784.6189528011329, 565.776946443008], [772.0425952017138, 410.6065173231298], [762.0274720336413, 269.2948573924059], [752.3058081783843, 216.17063306013242], [725.3418236736471, 66.97509705995822], [513.1065534249643, 345.78253155236564], [593.6872304557479, 365.1696584639742], [656.2745525881006, 271.7136159860454], [844.4406038516131, 253.08981991087097], [874.2731766108326, 383.82628975250856], [791.1052915264735, 430.31980933419226], [0.91845703125, 0.0]]]
frame 25: [[[796.9169921875, 942.4033813476562], [744.5474668473163, 770.147619372564], [730.3235520671599, 573.1221218507316], [825.7860640002842, 544.0545360805781], [809.0895830775487, 729.8362824897209], [815.5270944021225, 939.1795493440154], [781.925401033719, 574.8910487405258], [773.6454644120112, 414.5798143067185], [768.361627479603, 267.2194564515132], [759.1494543938306, 213.4778749174804], [723.2198440280356, 63.0412776289237], [536.5131864804371, 344.22207112550836], [601.9700727452762, 372.6940765812483], [653.5724077647599, 279.38733315342535], [851.622149584596, 260.5303688840585], [891.1994007606329, 383.07934312592164], [790.0166859335193, 420.38265536659674], [0.94287109375, 0.0]]]
frame 26: [[[801.333984375, 953.462890625], [749.1255402487832, 781.742453108189], [726.1987857520573, 575.882798467155], [829.4237811743586, 555.6050705039946], [813.3571785376957, 732.1963135199285], [819.8791543414113, 949.8527247917953], [786.3990500430435, 577.5831814949513], [778.1352372620324, 422.13230363733607], [772.8651165861021, 280.12776549159526], [763.6803362208216, 217.59479878494113], [727.8606672173557, 66.96223542740582], [551.1220388485453, 347.20903093488744], [608.3029481037587, 384.6904606330312], [658.4742373390095, 283.4485675768133], [855.8057264003646, 263.9461870465299], [895.3174555299701, 386.01130870436896], [803.5633543671997, 405.46888352546347], [0.94677734375, 0.0]]]
frame 27: [[[798.673828125, 935.513671875], [746.2506047434422, 791.2198965785034], [723.2346735336197, 567.066864368725], [826.8894748580251, 554.9465586917481], [810.7460876908469, 733.0750106975562], [817.2937059828416, 951.5376938844864], [783.6766886320264, 577.6767569664074], [775.3813503608186, 416.8994987779786], [770.0905420383071, 269.4094589987493], [760.8688095218346, 215.63536006758096], [733.7330831146467, 65.04724235128111], [566.7274943936465, 346.5249996375694], [624.1660578476285, 393.1284130722084], [665.9688039065035, 283.1309896543943], [844.2430875221527, 262.8582422310182], [901.4163855464751, 385.33230755124487], [810.7816625990656, 396.05942855543867], [0.947265625, 0.0]]]
frame 28: [[[802.53515625, 945.08984375], [740.9891723820477, 791.1191533269727], [717.1692841370067, 575.4965161468208], [820.927215639861, 563.7369982118627], [813.3658170502764, 742.3161460721351], [812.4725890635912, 942.1936181533646], [777.7711760629369, 576.1929230740984], [769.39226278029, 420.325201037401], [764.0878975077967, 277.4878974358444], [763.4182849891724, 214.58995230522248], [746.1401811275719, 63.03323967033953], [589.496321583681, 345.0607239641836], [630.3651632861046, 400.94054153761033], [669.7090318362259, 282.30279315066014], [848.1038766297454, 261.3345672408805], [905.4593299335588, 383.9675451953082], [823.7411304359662, 394.7480578868481], [0.94287109375, 0.0]]]
frame 29: [[[802.6669921875, 944.1943359375], [741.1840580312175, 790.3826284746277], [717.3869316609866, 565.4795041868352], [811.8404940737565, 562.4611100361897], [812.3891389291005, 741.6994639381808], [812.4526341099013, 950.8081568491456], [777.9420459516975, 576.0192769913411], [773.8688260060143, 419.9319844344692], [773.3594468138732, 277.24215548089], [764.7582732863746, 214.4178433380969], [746.4329102069353, 63.01717139072791], [599.1763299952211, 354.3756352150272], [623.3337296738442, 410.42643082796], [669.1037900925419, 282.6831652393716], [857.5991083104527, 269.9470498126132], [906.1773605752969, 384.19049032458764], [823.80495895123, 394.4444221961472], [0.93994140625, 0.0]]]
frame 30: [[[793.0771484375, 928.6044921875], [722.5342640616558, 784.1614520889473], [715.6088847321282, 569.2784012998778], [812.150158913511, 566.4495644411561], [812.6073510567079, 755.2931716358225], [804.1606218592523, 945.8038930865614], [768.4097460940582, 579.625983005934], [768.5669040558109, 423.9418712100959], [772.8190090092446, 281.25622821934274], [764.8873254985008, 218.422645128099], [746.6473485459148, 67.02046443348146], [618.0923175484704, 358.3788122526581], [634.3250722283814, 414.4269747648303], [670.3682156880363, 286.68367777814], [857.6868008585076, 273.947128973813], [906.343527029598, 388.19055149908036], [833.0050718493388, 389.6949143607353], [0.93603515625, 0.0]]]
frame 31: [[[775.619140625, 925.224609375], [705.4385336951146, 790.82451099374], [707.1640471984213, 577.5714437411705], [813.5769082501444, 565.6766367655483], [814.4883231730182, 743.2033755294156], [806.1134000924565, 941.8169769247781], [770.5957623190311, 578.1179962540317], [766.463624741282, 423.12776579793035], [765.9505498718332, 281.1369766244022], [765.8834706962093, 218.59812899790796], [748.8086977886051, 67.96454976106456], [630.32391587801, 367.374896743311], [646.8023716757522, 414.29968966808354], [665.4820424245697, 286.44148275651605], [858.8488848636991, 273.81740232366406], [907.7666222384703, 396.6915744424129], [816.7897683205447, 390.0441374279522], [0.927734375, 0.0]]]
frame 32: [[[758.8515625, 918.2109375], [679.445927240609, 774.2156738370411], [705.987358971896, 569.4381417016995], [816.5724992109784, 557.9148360119552], [817.3497744153397, 735.8927417552195], [817.4335285483359, 944.3139370895141], [774.2764407571775, 580.3685246355027], [769.3179182082024, 424.9117534880962], [768.7086771570131, 282.60537506601196], [768.6294630818762, 219.93423108234333], [751.516050174881, 68.99110366360777], [642.0313901210214, 369.0345412204699], [641.7035612000964, 425.14214395791066], [667.0143062226681, 288.5674372864315], [861.7753780172645, 275.3184137443183], [910.8064083018771, 398.3495890895168], [828.7269636896424, 400.38200935920565], [0.92138671875, 0.0]]]
frame 33: [[[743.3544921875, 909.5888061523438], [664.0307798061218, 765.7428476038128], [707.5634300580778, 570.6054855875211], [820.66576106779, 559.3970076533011], [821.32228516734, 746.7126810039645], [821.3917000275804, 945.8614857867633], [769.4176021094291, 581.7643154708247], [767.951432773072, 426.52119005762006], [771.9967962738139, 284.37136142045114], [772.5369292716379, 230.92564759642897], [755.5417627615528, 71.44224240163234], [655.3922595863517, 389.8158360334486], [638.0146247986685, 419.12331903498284], [670.0997344426119, 298.7491552478233], [856.2511762435112, 277.9746949604372], [913.9889860022465, 399.9623741336308], [823.6840302694529, 410.7548064470093], [0.9296875, 0.0]]]
frame 34: [[[721.9501953125, 910.8759765625], [642.7903180474821, 767.3284353076825], [695.0286717484385, 572.5855490091469], [818.1500451087712, 570.3174729176317], [819.1915895494146, 739.4536072241896], [819.2987733409036, 946.6041648156453], [767.4720339114718, 583.7838063012739], [765.9758692239941, 428.8031656874853], [770.0077489616284, 286.92652937651695], [770.5468093031374, 233.57758959028774], [753.5866794572308, 74.42006480124633], [653.6443955555379, 411.32207332259475], [636.2956846947095, 414.05639781700035], [668.3147283839161, 300.45011266152346], [854.0797670754449, 280.440586762752], [911.7106294609277, 402.2582791446217], [821.5949663442941, 439.57015670058144], [0.92578125, 0.0]]]
frame 35: [[[704.4677734375, 911.4501953125], [634.6493664466857, 759.2279731494533], [696.2762091670195, 574.1182488595739], [810.6175528495213, 572.2254635960245], [811.0828056586124, 759.4313680163878], [811.1310475723217, 957.2371871371644], [768.3228699600994, 595.427742938458], [767.6045254345483, 441.02919459920804], [771.7056530058342, 299.7203254741437], [763.8361514946008, 237.47241697879048], [754.3451344358598, 78.29746243859881], [655.844294505175, 413.742696050597], [629.7627776414827, 416.60875611210116], [660.7597084863961, 294.29894319818646], [855.0250753652715, 291.2228534273733], [912.8707814549148, 405.50320189960513], [823.198955889045, 450.9902901922095], [0.92822265625, 0.0]]]
frame 36: [[[678.4052734375, 921.6826171875], [617.8047588405633, 760.8417740833167], [688.8726355287866, 575.9885401274489], [803.5780754368062, 574.1599059049087], [812.606995003995, 741.9396405570236], [813.5006951955509, 947.4089009564731], [762.2614513095914, 587.6644100629858], [760.7200235478007, 438.50821783563003], [764.7097775112371, 302.6136069211192], [765.2446322523089, 240.8013009419236], [756.9240437150577, 82.28644054920173], [668.0940441775331, 435.3718712436346], [633.8381364286205, 412.2354090957449], [664.0000527126082, 296.62006623160806], [847.9506474371723, 294.21095626733455], [905.2283861671851, 417.2398839895038], [842.583491551054, 472.0310951444905], [0.93408203125, 0.0]]]
frame 37: [[[650.4990234375, 942.4560546875], [616.4812210957648, 763.80073913156], [690.0051421838622, 569.4832709821319], [804.2059669904617, 576.2835363759477], [813.0422400859931, 744.1676610135321], [813.909135245169, 948.8244057568521], [762.8920411398576, 590.6160499359005], [761.3408802638737, 442.02418843997486], [765.3119243302601, 306.67392821584065], [765.8445692404725, 245.10076838642212], [757.5579834180022, 87.2399445728952], [669.0991434060217, 457.82935854929], [634.974939935314, 426.3533279235952], [665.0102435156882, 301.2415325814767], [857.4673490752693, 298.3401808008256], [905.9343553153094, 429.8489959335695], [834.0202476768319, 485.0071135012497], [0.9384765625, 0.0]]]
frame 38: [[[613.3291015625, 964.0733032226562], [596.5779446919482, 776.9383715760606], [689.8253539098308, 573.7117453557622], [805.0005276034232, 571.4903909821953], [804.9377473719591, 746.7412392654668], [813.4181089265587, 960.4966201550876], [763.5861811458667, 594.8986755172671], [762.0430233188068, 446.5131485181894], [765.9939408874872, 311.71352040344493], [766.5261150265071, 250.3932569175481], [749.8448971669924, 93.18859214967662], [678.4450520160332, 481.14207254013024], [636.9724835281934, 432.90619636035836], [658.0993293194268, 315.308813229767], [857.3012108377529, 304.38372088333836], [897.1205481129738, 434.28780249068933], [842.2442441946082, 507.12751518841253], [0.9365234375, 0.0]]]
frame 39: [[[581.359375, 973.0781860351562], [589.6392581816351, 786.932146434416], [677.2699761210417, 593.9593333380624], [800.2648664194198, 583.2497451048026], [800.546943454184, 756.7428469710022], [809.027920300916, 960.2164523646409], [759.4798365849674, 605.510672999752], [757.914100771901, 453.63502032844895], [761.8399080826201, 314.7259201551748], [762.3692877788253, 262.43682089423214], [745.774565879166, 97.5467766243774], [674.7492287837391, 492.32168656515734], [633.4836903957183, 444.54049168988365], [654.4953430303523, 318.66174767199095], [852.6442729046781, 315.782635086501], [892.2881449644776, 446.0124581330713], [845.8472689454965, 527.4127963721239], [0.93115234375, 0.0]]]
frame 40: [[[548.080078125, 986.7597045898438], [581.7102915093667, 791.8299205867601], [672.4790066551989, 589.6370722648707], [795.2457446723114, 587.4630321345433], [803.9750559973759, 761.3801402054681], [813.2569023710923, 964.4233188184035], [755.2748215589178, 610.480248235835], [752.9168481385249, 458.885752254165], [756.7456555623155, 320.256910207121], [757.2572380356376, 268.06792813037055], [740.6904711196242, 103.52338952412649], [678.6272639051356, 516.2809267093493], [629.4132710903223, 460.2411031932241], [649.7399270876699, 324.6813233194339], [847.289215902126, 321.3478796979534], [886.8934120918212, 451.1664796879667], [840.5676781360551, 541.4081186911692], [0.9384765625, 0.0]]]
frame 41: [[[527.9765625, 1001.6640625], [569.9533998335775, 798.8435714777036], [669.9969092741784, 597.4938576922302], [792.6291376317677, 595.369960845979], [801.2185581605742, 768.1397856539788], [810.4323482629696, 960.8189531186346], [744.143546600419, 618.0003672905323], [745.2423188354899, 467.6550013095753], [753.5324971287987, 329.8669506893093], [746.473371591568, 277.96636775558045], [737.2989978209507, 114.45687863277524], [676.6185445221392, 533.9078717485033], [627.7508684296008, 469.9893270207805], [647.9112510626021, 334.19784128343514], [844.2139301086534, 330.89491182688204], [883.5991220808867, 459.86462266937383], [829.4753422252707, 549.573385586816], [0.94189453125, 0.0]]]
frame 42: [[[506.134765625, 1012.673828125], [564.7832084093454, 802.9736506453277], [656.6778230783952, 603.3145923264881], [777.3987220383223, 609.7919284332345], [794.4250504747863, 772.6307739600186], [812.7309842122565, 962.7754834836617], [739.6466809908088, 623.6833366886249], [735.8649598412311, 479.36271219596233], [739.4723110499219, 347.6972374260697], [739.9471762647884, 287.73105642099443], [723.6451426990222, 125.29671126253723], [662.6275214201225, 549.4469323476445], [622.8144514321511, 478.2306625500362], [643.3823365595356, 342.74837610017397], [837.8018314065071, 331.08630434619835], [868.1382997915256, 466.471490072177], [813.7962116640966, 573.5380111257602], [0.94580078125, 0.0]]]
frame 43: [[[495.8125, 1018.5625], [554.5868048548447, 808.4084518694892], [655.5099568128504, 617.3973970025095], [777.0990181577024, 615.6003495774856], [794.0993408161448, 786.9696677750122], [812.4336416788746, 968.9662860885742], [739.1970550780206, 628.6063230674204], [735.3987422993981, 484.09380752117613], [739.0122429276377, 352.1757821106637], [731.330943507165, 292.09758971592737], [722.1534954940078, 129.31812334927525], [661.9691069848717, 563.686927779379], [613.517363848574, 484.131813016937], [633.5073089239726, 356.1100159911086], [828.1240170444298, 344.8889873963924], [858.562242273088, 471.74211682013197], [804.099723493697, 587.3544096137501], [0.94287109375, 0.0]]]
